model,precision,agent,correct,total,accuracy,coverage,wrong_to_right,right_to_wrong,net_vs_direct,shared_with_direct,missing_indices,status
Qwen3.5-0.8B,BF16/FP16,Direct,42,800,0.0525,800/800,,,,,0,Complete
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,47,800,0.05875,800/800,29,24,5,800,0,Complete
Qwen3.5-0.8B,BF16/FP16,Tool,48,800,0.06,800/800,11,5,6,800,0,Complete
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,48,800,0.06,800/800,46,40,6,800,0,Complete
Qwen3.5-9B,BF16/FP16,Direct,44,800,0.055,800/800,,,,,0,Complete
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,46,800,0.0575,800/800,24,22,2,800,0,Complete
Qwen3.5-9B,BF16/FP16,Tool,52,800,0.065,800/800,8,0,8,800,0,Complete
Qwen3.5-9B,BF16/FP16,Sim-XMaster,54,800,0.0675,800/800,23,13,10,800,0,Complete
Qwen3.5-27B,NF4 4-bit,Direct,42,800,0.0525,800/800,,,,,0,Complete
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,52,800,0.065,800/800,29,19,10,800,0,Complete
Qwen3.5-27B,NF4 4-bit,Tool,52,800,0.065,800/800,10,0,10,800,0,Complete
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,51,800,0.06375,800/800,20,11,9,800,0,Complete
