model,precision,agent,category,correct,total,accuracy
Qwen3.5-0.8B,BF16/FP16,Direct,Biology/Medicine,1,9,0.1111111111111111
Qwen3.5-0.8B,BF16/FP16,Direct,Chemistry,0,1,0.0
Qwen3.5-0.8B,BF16/FP16,Direct,Computer Science/AI,1,22,0.045454545454545456
Qwen3.5-0.8B,BF16/FP16,Direct,Engineering,0,4,0.0
Qwen3.5-0.8B,BF16/FP16,Direct,Humanities/Social Science,4,22,0.18181818181818182
Qwen3.5-0.8B,BF16/FP16,Direct,Math,1,33,0.030303030303030304
Qwen3.5-0.8B,BF16/FP16,Direct,Other,0,20,0.0
Qwen3.5-0.8B,BF16/FP16,Direct,Physics,0,9,0.0
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Biology/Medicine,0,9,0.0
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Chemistry,0,1,0.0
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Computer Science/AI,0,22,0.0
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Engineering,0,4,0.0
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Humanities/Social Science,4,22,0.18181818181818182
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Math,0,33,0.0
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Other,1,20,0.05
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Physics,0,9,0.0
Qwen3.5-0.8B,BF16/FP16,Tool,Biology/Medicine,1,9,0.1111111111111111
Qwen3.5-0.8B,BF16/FP16,Tool,Chemistry,0,1,0.0
Qwen3.5-0.8B,BF16/FP16,Tool,Computer Science/AI,3,22,0.13636363636363635
Qwen3.5-0.8B,BF16/FP16,Tool,Engineering,0,4,0.0
Qwen3.5-0.8B,BF16/FP16,Tool,Humanities/Social Science,3,22,0.13636363636363635
Qwen3.5-0.8B,BF16/FP16,Tool,Math,4,33,0.12121212121212122
Qwen3.5-0.8B,BF16/FP16,Tool,Other,0,20,0.0
Qwen3.5-0.8B,BF16/FP16,Tool,Physics,0,9,0.0
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Biology/Medicine,0,9,0.0
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Chemistry,0,1,0.0
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Computer Science/AI,2,22,0.09090909090909091
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Engineering,1,4,0.25
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Humanities/Social Science,1,22,0.045454545454545456
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Math,3,33,0.09090909090909091
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Other,1,20,0.05
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Physics,0,9,0.0
Qwen3.5-9B,BF16/FP16,Direct,Biology/Medicine,0,9,0.0
Qwen3.5-9B,BF16/FP16,Direct,Chemistry,0,1,0.0
Qwen3.5-9B,BF16/FP16,Direct,Computer Science/AI,0,22,0.0
Qwen3.5-9B,BF16/FP16,Direct,Engineering,0,4,0.0
Qwen3.5-9B,BF16/FP16,Direct,Humanities/Social Science,2,22,0.09090909090909091
Qwen3.5-9B,BF16/FP16,Direct,Math,0,33,0.0
Qwen3.5-9B,BF16/FP16,Direct,Other,1,20,0.05
Qwen3.5-9B,BF16/FP16,Direct,Physics,0,9,0.0
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Biology/Medicine,1,9,0.1111111111111111
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Chemistry,0,1,0.0
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Computer Science/AI,0,22,0.0
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Engineering,0,4,0.0
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Humanities/Social Science,0,22,0.0
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Math,0,33,0.0
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Other,1,20,0.05
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Physics,0,9,0.0
Qwen3.5-9B,BF16/FP16,Tool,Biology/Medicine,0,9,0.0
Qwen3.5-9B,BF16/FP16,Tool,Chemistry,0,1,0.0
Qwen3.5-9B,BF16/FP16,Tool,Computer Science/AI,2,22,0.09090909090909091
Qwen3.5-9B,BF16/FP16,Tool,Engineering,0,4,0.0
Qwen3.5-9B,BF16/FP16,Tool,Humanities/Social Science,2,22,0.09090909090909091
Qwen3.5-9B,BF16/FP16,Tool,Math,3,33,0.09090909090909091
Qwen3.5-9B,BF16/FP16,Tool,Other,1,20,0.05
Qwen3.5-9B,BF16/FP16,Tool,Physics,0,9,0.0
Qwen3.5-9B,BF16/FP16,Sim-XMaster,Biology/Medicine,1,9,0.1111111111111111
Qwen3.5-9B,BF16/FP16,Sim-XMaster,Chemistry,0,1,0.0
Qwen3.5-9B,BF16/FP16,Sim-XMaster,Computer Science/AI,3,22,0.13636363636363635
Qwen3.5-9B,BF16/FP16,Sim-XMaster,Engineering,0,4,0.0
Qwen3.5-9B,BF16/FP16,Sim-XMaster,Humanities/Social Science,2,22,0.09090909090909091
Qwen3.5-9B,BF16/FP16,Sim-XMaster,Math,3,33,0.09090909090909091
Qwen3.5-9B,BF16/FP16,Sim-XMaster,Other,1,20,0.05
Qwen3.5-9B,BF16/FP16,Sim-XMaster,Physics,0,9,0.0
Qwen3.5-27B,NF4 4-bit,Direct,Biology/Medicine,0,9,0.0
Qwen3.5-27B,NF4 4-bit,Direct,Chemistry,0,1,0.0
Qwen3.5-27B,NF4 4-bit,Direct,Computer Science/AI,0,22,0.0
Qwen3.5-27B,NF4 4-bit,Direct,Engineering,1,4,0.25
Qwen3.5-27B,NF4 4-bit,Direct,Humanities/Social Science,2,22,0.09090909090909091
Qwen3.5-27B,NF4 4-bit,Direct,Math,3,33,0.09090909090909091
Qwen3.5-27B,NF4 4-bit,Direct,Other,1,20,0.05
Qwen3.5-27B,NF4 4-bit,Direct,Physics,1,9,0.1111111111111111
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Biology/Medicine,0,9,0.0
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Chemistry,0,1,0.0
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Computer Science/AI,2,22,0.09090909090909091
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Engineering,1,4,0.25
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Humanities/Social Science,2,22,0.09090909090909091
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Math,2,33,0.06060606060606061
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Other,1,20,0.05
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Physics,0,9,0.0
Qwen3.5-27B,NF4 4-bit,Tool,Biology/Medicine,0,9,0.0
Qwen3.5-27B,NF4 4-bit,Tool,Chemistry,0,1,0.0
Qwen3.5-27B,NF4 4-bit,Tool,Computer Science/AI,2,22,0.09090909090909091
Qwen3.5-27B,NF4 4-bit,Tool,Engineering,1,4,0.25
Qwen3.5-27B,NF4 4-bit,Tool,Humanities/Social Science,2,22,0.09090909090909091
Qwen3.5-27B,NF4 4-bit,Tool,Math,5,33,0.15151515151515152
Qwen3.5-27B,NF4 4-bit,Tool,Other,1,20,0.05
Qwen3.5-27B,NF4 4-bit,Tool,Physics,1,9,0.1111111111111111
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Biology/Medicine,0,9,0.0
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Chemistry,0,1,0.0
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Computer Science/AI,2,22,0.09090909090909091
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Engineering,0,4,0.0
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Humanities/Social Science,1,22,0.045454545454545456
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Math,4,33,0.12121212121212122
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Other,2,20,0.1
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Physics,1,9,0.1111111111111111
