model,precision,agent,category,correct,total,accuracy
Qwen3.5-0.8B,BF16/FP16,Direct,Biology/Medicine,7,85,0.08235294117647059
Qwen3.5-0.8B,BF16/FP16,Direct,Chemistry,0,28,0.0
Qwen3.5-0.8B,BF16/FP16,Direct,Computer Science/AI,5,91,0.054945054945054944
Qwen3.5-0.8B,BF16/FP16,Direct,Engineering,0,16,0.0
Qwen3.5-0.8B,BF16/FP16,Direct,Humanities/Social Science,7,82,0.08536585365853659
Qwen3.5-0.8B,BF16/FP16,Direct,Math,10,313,0.03194888178913738
Qwen3.5-0.8B,BF16/FP16,Direct,Other,2,49,0.04081632653061224
Qwen3.5-0.8B,BF16/FP16,Direct,Physics,3,36,0.08333333333333333
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Biology/Medicine,5,85,0.058823529411764705
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Chemistry,2,28,0.07142857142857142
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Computer Science/AI,4,91,0.04395604395604396
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Engineering,0,16,0.0
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Humanities/Social Science,8,82,0.0975609756097561
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Math,17,313,0.054313099041533544
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Other,2,49,0.04081632653061224
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Physics,2,36,0.05555555555555555
Qwen3.5-0.8B,BF16/FP16,Tool,Biology/Medicine,8,85,0.09411764705882353
Qwen3.5-0.8B,BF16/FP16,Tool,Chemistry,0,28,0.0
Qwen3.5-0.8B,BF16/FP16,Tool,Computer Science/AI,6,91,0.06593406593406594
Qwen3.5-0.8B,BF16/FP16,Tool,Engineering,0,16,0.0
Qwen3.5-0.8B,BF16/FP16,Tool,Humanities/Social Science,6,82,0.07317073170731707
Qwen3.5-0.8B,BF16/FP16,Tool,Math,13,313,0.04153354632587859
Qwen3.5-0.8B,BF16/FP16,Tool,Other,2,49,0.04081632653061224
Qwen3.5-0.8B,BF16/FP16,Tool,Physics,4,36,0.1111111111111111
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Biology/Medicine,6,85,0.07058823529411765
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Chemistry,1,28,0.03571428571428571
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Computer Science/AI,11,91,0.12087912087912088
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Engineering,1,16,0.0625
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Humanities/Social Science,5,82,0.06097560975609756
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Math,14,313,0.04472843450479233
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Other,3,49,0.061224489795918366
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Physics,0,36,0.0
Qwen3.5-9B,BF16/FP16,Direct,Biology/Medicine,8,85,0.09411764705882353
Qwen3.5-9B,BF16/FP16,Direct,Chemistry,2,28,0.07142857142857142
Qwen3.5-9B,BF16/FP16,Direct,Computer Science/AI,4,91,0.04395604395604396
Qwen3.5-9B,BF16/FP16,Direct,Engineering,2,16,0.125
Qwen3.5-9B,BF16/FP16,Direct,Humanities/Social Science,6,82,0.07317073170731707
Qwen3.5-9B,BF16/FP16,Direct,Math,12,313,0.038338658146964855
Qwen3.5-9B,BF16/FP16,Direct,Other,1,49,0.02040816326530612
Qwen3.5-9B,BF16/FP16,Direct,Physics,1,36,0.027777777777777776
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Biology/Medicine,10,85,0.11764705882352941
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Chemistry,0,28,0.0
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Computer Science/AI,8,91,0.08791208791208792
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Engineering,1,16,0.0625
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Humanities/Social Science,4,82,0.04878048780487805
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Math,12,313,0.038338658146964855
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Other,2,49,0.04081632653061224
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Physics,0,36,0.0
Qwen3.5-9B,BF16/FP16,Tool,Biology/Medicine,8,85,0.09411764705882353
Qwen3.5-9B,BF16/FP16,Tool,Chemistry,3,28,0.10714285714285714
Qwen3.5-9B,BF16/FP16,Tool,Computer Science/AI,6,91,0.06593406593406594
Qwen3.5-9B,BF16/FP16,Tool,Engineering,2,16,0.125
Qwen3.5-9B,BF16/FP16,Tool,Humanities/Social Science,6,82,0.07317073170731707
Qwen3.5-9B,BF16/FP16,Tool,Math,17,313,0.054313099041533544
Qwen3.5-9B,BF16/FP16,Tool,Other,1,49,0.02040816326530612
Qwen3.5-9B,BF16/FP16,Tool,Physics,1,36,0.027777777777777776
Qwen3.5-9B,BF16/FP16,Sim-XMaster,Biology/Medicine,7,85,0.08235294117647059
Qwen3.5-9B,BF16/FP16,Sim-XMaster,Chemistry,1,28,0.03571428571428571
Qwen3.5-9B,BF16/FP16,Sim-XMaster,Computer Science/AI,4,91,0.04395604395604396
Qwen3.5-9B,BF16/FP16,Sim-XMaster,Engineering,2,16,0.125
Qwen3.5-9B,BF16/FP16,Sim-XMaster,Humanities/Social Science,2,82,0.024390243902439025
Qwen3.5-9B,BF16/FP16,Sim-XMaster,Math,22,313,0.07028753993610223
Qwen3.5-9B,BF16/FP16,Sim-XMaster,Other,2,49,0.04081632653061224
Qwen3.5-9B,BF16/FP16,Sim-XMaster,Physics,2,36,0.05555555555555555
Qwen3.5-27B,NF4 4-bit,Direct,Biology/Medicine,8,85,0.09411764705882353
Qwen3.5-27B,NF4 4-bit,Direct,Chemistry,1,28,0.03571428571428571
Qwen3.5-27B,NF4 4-bit,Direct,Computer Science/AI,6,91,0.06593406593406594
Qwen3.5-27B,NF4 4-bit,Direct,Engineering,1,16,0.0625
Qwen3.5-27B,NF4 4-bit,Direct,Humanities/Social Science,6,82,0.07317073170731707
Qwen3.5-27B,NF4 4-bit,Direct,Math,12,313,0.038338658146964855
Qwen3.5-27B,NF4 4-bit,Direct,Other,2,49,0.04081632653061224
Qwen3.5-27B,NF4 4-bit,Direct,Physics,2,36,0.05555555555555555
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Biology/Medicine,9,85,0.10588235294117647
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Chemistry,2,28,0.07142857142857142
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Computer Science/AI,6,91,0.06593406593406594
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Engineering,1,16,0.0625
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Humanities/Social Science,6,82,0.07317073170731707
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Math,15,313,0.04792332268370607
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Other,2,49,0.04081632653061224
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Physics,1,36,0.027777777777777776
Qwen3.5-27B,NF4 4-bit,Tool,Biology/Medicine,8,85,0.09411764705882353
Qwen3.5-27B,NF4 4-bit,Tool,Chemistry,1,28,0.03571428571428571
Qwen3.5-27B,NF4 4-bit,Tool,Computer Science/AI,9,91,0.0989010989010989
Qwen3.5-27B,NF4 4-bit,Tool,Engineering,1,16,0.0625
Qwen3.5-27B,NF4 4-bit,Tool,Humanities/Social Science,7,82,0.08536585365853659
Qwen3.5-27B,NF4 4-bit,Tool,Math,17,313,0.054313099041533544
Qwen3.5-27B,NF4 4-bit,Tool,Other,2,49,0.04081632653061224
Qwen3.5-27B,NF4 4-bit,Tool,Physics,2,36,0.05555555555555555
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Biology/Medicine,6,85,0.07058823529411765
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Chemistry,1,28,0.03571428571428571
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Computer Science/AI,11,91,0.12087912087912088
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Engineering,1,16,0.0625
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Humanities/Social Science,5,82,0.06097560975609756
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Math,14,313,0.04472843450479233
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Other,3,49,0.061224489795918366
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Physics,1,36,0.027777777777777776
