model,precision,agent,correct,total,accuracy,coverage,wrong_to_right,right_to_wrong,net_vs_direct,shared_with_direct,missing_indices,status
Qwen3.5-0.8B,BF16/FP16,Direct,80,1500,0.05333333333333334,1500/1500,,,,,0,Complete
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,94,1500,0.06266666666666666,1500/1500,57,43,14,1500,0,Complete
Qwen3.5-0.8B,BF16/FP16,Tool,95,1500,0.06333333333333334,1500/1500,23,8,15,1500,0,Complete
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,92,1500,0.06133333333333333,1500/1500,84,72,12,1500,0,Complete
Qwen3.5-9B,BF16/FP16,Direct,84,1500,0.056,1500/1500,,,,,0,Complete
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,91,1500,0.06066666666666667,1500/1500,47,40,7,1500,0,Complete
Qwen3.5-9B,BF16/FP16,Tool,96,1500,0.064,1500/1500,12,0,12,1500,0,Complete
Qwen3.5-9B,BF16/FP16,Sim-XMaster,,,,0/1500,,,,,1500,N/A
Qwen3.5-27B,NF4 4-bit,Direct,75,1500,0.05,1500/1500,,,,,0,Complete
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,64,1046,0.06118546845124283,1046/1500,38,24,14,1046,454,Partial
Qwen3.5-27B,NF4 4-bit,Tool,94,1500,0.06266666666666666,1500/1500,19,0,19,1500,0,Complete
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,,,,0/1500,,,,,1500,N/A
