model,precision,agent,category,correct,total,accuracy
Qwen3.5-27B,NF4 4-bit,Direct,Humanities/Social Science,5,73,0.0684931506849315
Qwen3.5-27B,NF4 4-bit,Direct,Math,12,258,0.046511627906976744
Qwen3.5-27B,NF4 4-bit,Direct,Other,2,45,0.044444444444444446
Qwen3.5-27B,NF4 4-bit,Direct,Physics,2,33,0.06060606060606061
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Biology/Medicine,7,75,0.09333333333333334
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Chemistry,1,25,0.04
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Computer Science/AI,4,79,0.05063291139240506
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Engineering,1,12,0.08333333333333333
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Humanities/Social Science,6,73,0.0821917808219178
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Math,14,258,0.05426356589147287
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Other,2,45,0.044444444444444446
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Physics,1,33,0.030303030303030304
Qwen3.5-27B,NF4 4-bit,Tool,Biology/Medicine,7,75,0.09333333333333334
Qwen3.5-27B,NF4 4-bit,Tool,Chemistry,1,25,0.04
Qwen3.5-27B,NF4 4-bit,Tool,Computer Science/AI,6,79,0.0759493670886076
Qwen3.5-27B,NF4 4-bit,Tool,Engineering,1,12,0.08333333333333333
Qwen3.5-27B,NF4 4-bit,Tool,Humanities/Social Science,6,73,0.0821917808219178
Qwen3.5-27B,NF4 4-bit,Tool,Math,17,258,0.06589147286821706
Qwen3.5-27B,NF4 4-bit,Tool,Other,2,45,0.044444444444444446
Qwen3.5-27B,NF4 4-bit,Tool,Physics,2,33,0.06060606060606061
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Biology/Medicine,5,75,0.06666666666666667
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Chemistry,0,25,0.0
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Computer Science/AI,7,79,0.08860759493670886
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Engineering,0,12,0.0
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Humanities/Social Science,4,73,0.0547945205479452
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Math,17,258,0.06589147286821706
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Other,3,45,0.06666666666666667
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Physics,1,33,0.030303030303030304
