model,precision,agent,category,correct,total,accuracy
Qwen3.5-0.8B,BF16/FP16,Direct,Biology/Medicine,18,176,0.10227272727272728
Qwen3.5-0.8B,BF16/FP16,Direct,Chemistry,3,66,0.045454545454545456
Qwen3.5-0.8B,BF16/FP16,Direct,Computer Science/AI,8,170,0.047058823529411764
Qwen3.5-0.8B,BF16/FP16,Direct,Engineering,4,48,0.08333333333333333
Qwen3.5-0.8B,BF16/FP16,Direct,Humanities/Social Science,9,143,0.06293706293706294
Qwen3.5-0.8B,BF16/FP16,Direct,Math,25,668,0.0374251497005988
Qwen3.5-0.8B,BF16/FP16,Direct,Other,4,109,0.03669724770642202
Qwen3.5-0.8B,BF16/FP16,Direct,Physics,9,120,0.075
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Biology/Medicine,18,176,0.10227272727272728
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Chemistry,5,66,0.07575757575757576
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Computer Science/AI,10,170,0.058823529411764705
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Engineering,5,48,0.10416666666666667
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Humanities/Social Science,11,143,0.07692307692307693
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Math,32,668,0.04790419161676647
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Other,4,109,0.03669724770642202
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Physics,9,120,0.075
Qwen3.5-0.8B,BF16/FP16,Tool,Biology/Medicine,23,176,0.13068181818181818
Qwen3.5-0.8B,BF16/FP16,Tool,Chemistry,2,66,0.030303030303030304
Qwen3.5-0.8B,BF16/FP16,Tool,Computer Science/AI,9,170,0.052941176470588235
Qwen3.5-0.8B,BF16/FP16,Tool,Engineering,4,48,0.08333333333333333
Qwen3.5-0.8B,BF16/FP16,Tool,Humanities/Social Science,9,143,0.06293706293706294
Qwen3.5-0.8B,BF16/FP16,Tool,Math,32,668,0.04790419161676647
Qwen3.5-0.8B,BF16/FP16,Tool,Other,5,109,0.045871559633027525
Qwen3.5-0.8B,BF16/FP16,Tool,Physics,11,120,0.09166666666666666
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Biology/Medicine,15,176,0.08522727272727272
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Chemistry,5,66,0.07575757575757576
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Computer Science/AI,18,170,0.10588235294117647
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Engineering,5,48,0.10416666666666667
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Humanities/Social Science,9,143,0.06293706293706294
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Math,32,668,0.04790419161676647
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Other,7,109,0.06422018348623854
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Physics,1,120,0.008333333333333333
Qwen3.5-9B,BF16/FP16,Direct,Biology/Medicine,20,176,0.11363636363636363
Qwen3.5-9B,BF16/FP16,Direct,Chemistry,5,66,0.07575757575757576
Qwen3.5-9B,BF16/FP16,Direct,Computer Science/AI,8,170,0.047058823529411764
Qwen3.5-9B,BF16/FP16,Direct,Engineering,5,48,0.10416666666666667
Qwen3.5-9B,BF16/FP16,Direct,Humanities/Social Science,9,143,0.06293706293706294
Qwen3.5-9B,BF16/FP16,Direct,Math,26,668,0.038922155688622756
Qwen3.5-9B,BF16/FP16,Direct,Other,5,109,0.045871559633027525
Qwen3.5-9B,BF16/FP16,Direct,Physics,6,120,0.05
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Biology/Medicine,23,176,0.13068181818181818
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Chemistry,3,66,0.045454545454545456
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Computer Science/AI,10,170,0.058823529411764705
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Engineering,3,48,0.0625
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Humanities/Social Science,9,143,0.06293706293706294
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Math,32,668,0.04790419161676647
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Other,6,109,0.05504587155963303
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Physics,5,120,0.041666666666666664
Qwen3.5-9B,BF16/FP16,Tool,Biology/Medicine,20,176,0.11363636363636363
Qwen3.5-9B,BF16/FP16,Tool,Chemistry,6,66,0.09090909090909091
Qwen3.5-9B,BF16/FP16,Tool,Computer Science/AI,10,170,0.058823529411764705
Qwen3.5-9B,BF16/FP16,Tool,Engineering,5,48,0.10416666666666667
Qwen3.5-9B,BF16/FP16,Tool,Humanities/Social Science,9,143,0.06293706293706294
Qwen3.5-9B,BF16/FP16,Tool,Math,35,668,0.05239520958083832
Qwen3.5-9B,BF16/FP16,Tool,Other,5,109,0.045871559633027525
Qwen3.5-9B,BF16/FP16,Tool,Physics,6,120,0.05
Qwen3.5-27B,NF4 4-bit,Direct,Biology/Medicine,15,176,0.08522727272727272
Qwen3.5-27B,NF4 4-bit,Direct,Chemistry,2,66,0.030303030303030304
Qwen3.5-27B,NF4 4-bit,Direct,Computer Science/AI,10,170,0.058823529411764705
Qwen3.5-27B,NF4 4-bit,Direct,Engineering,5,48,0.10416666666666667
Qwen3.5-27B,NF4 4-bit,Direct,Humanities/Social Science,8,143,0.055944055944055944
Qwen3.5-27B,NF4 4-bit,Direct,Math,26,668,0.038922155688622756
Qwen3.5-27B,NF4 4-bit,Direct,Other,5,109,0.045871559633027525
Qwen3.5-27B,NF4 4-bit,Direct,Physics,4,120,0.03333333333333333
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Biology/Medicine,12,129,0.09302325581395349
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Chemistry,2,49,0.04081632653061224
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Computer Science/AI,9,120,0.075
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Engineering,4,41,0.0975609756097561
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Humanities/Social Science,8,104,0.07692307692307693
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Math,24,452,0.05309734513274336
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Other,4,81,0.04938271604938271
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Physics,1,70,0.014285714285714285
Qwen3.5-27B,NF4 4-bit,Tool,Biology/Medicine,16,176,0.09090909090909091
Qwen3.5-27B,NF4 4-bit,Tool,Chemistry,3,66,0.045454545454545456
Qwen3.5-27B,NF4 4-bit,Tool,Computer Science/AI,14,170,0.08235294117647059
Qwen3.5-27B,NF4 4-bit,Tool,Engineering,5,48,0.10416666666666667
Qwen3.5-27B,NF4 4-bit,Tool,Humanities/Social Science,10,143,0.06993006993006994
Qwen3.5-27B,NF4 4-bit,Tool,Math,35,668,0.05239520958083832
Qwen3.5-27B,NF4 4-bit,Tool,Other,7,109,0.06422018348623854
Qwen3.5-27B,NF4 4-bit,Tool,Physics,4,120,0.03333333333333333
