model,precision,agent,correct,total,accuracy,coverage,wrong_to_right,right_to_wrong,net_vs_direct,shared_with_direct,missing_indices,status
Qwen3.5-0.8B,BF16/FP16,Direct,95,1904,0.04989495798319328,1904/1904,,,,,0,Complete
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,120,1904,0.06302521008403361,1904/1904,72,47,25,1904,0,Complete
Qwen3.5-0.8B,BF16/FP16,Tool,110,1904,0.05777310924369748,1904/1904,26,11,15,1904,0,Complete
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,111,1831,0.06062261059530311,1831/1904,96,79,17,1831,73,Partial
Qwen3.5-9B,BF16/FP16,Direct,100,1904,0.052521008403361345,1904/1904,,,,,0,Complete
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,104,1904,0.0546218487394958,1904/1904,51,47,4,1904,0,Complete
Qwen3.5-9B,BF16/FP16,Tool,112,1904,0.058823529411764705,1904/1904,12,0,12,1904,0,Complete
Qwen3.5-9B,BF16/FP16,Sim-XMaster,,,,0/1904,,,,,1904,N/A
Qwen3.5-27B,NF4 4-bit,Direct,92,1904,0.04831932773109244,1904/1904,,,,,0,Complete
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,64,1046,0.06118546845124283,1046/1904,38,24,14,1046,858,Partial
Qwen3.5-27B,NF4 4-bit,Tool,112,1904,0.058823529411764705,1904/1904,20,0,20,1904,0,Complete
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,,,,0/1904,,,,,1904,N/A
