model,precision,agent,correct,total,accuracy,coverage,wrong_to_right,right_to_wrong,net_vs_direct,shared_with_direct,missing_indices,status
Qwen3.5-0.8B,BF16/FP16,Direct,7,120,0.058333333333333334,120/120,,,,,0,Complete
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,5,120,0.041666666666666664,120/120,3,5,-2,120,0,Complete
Qwen3.5-0.8B,BF16/FP16,Tool,11,120,0.09166666666666666,120/120,5,1,4,120,0,Complete
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,8,120,0.06666666666666667,120/120,7,6,1,120,0,Complete
Qwen3.5-9B,BF16/FP16,Direct,3,120,0.025,120/120,,,,,0,Complete
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,2,120,0.016666666666666666,120/120,1,2,-1,120,0,Complete
Qwen3.5-9B,BF16/FP16,Tool,8,120,0.06666666666666667,120/120,5,0,5,120,0,Complete
Qwen3.5-9B,BF16/FP16,Sim-XMaster,10,120,0.08333333333333333,120/120,9,2,7,120,0,Complete
Qwen3.5-27B,NF4 4-bit,Direct,8,120,0.06666666666666667,120/120,,,,,0,Complete
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,8,120,0.06666666666666667,120/120,4,4,0,120,0,Complete
Qwen3.5-27B,NF4 4-bit,Tool,12,120,0.1,120/120,4,0,4,120,0,Complete
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,10,120,0.08333333333333333,120/120,5,3,2,120,0,Complete
