model,precision,agent,category,correct,total,accuracy
Qwen3.5-0.8B,BF16/FP16,Direct,Biology/Medicine,9,98,0.09183673469387756
Qwen3.5-0.8B,BF16/FP16,Direct,Chemistry,0,38,0.0
Qwen3.5-0.8B,BF16/FP16,Direct,Computer Science/AI,5,97,0.05154639175257732
Qwen3.5-0.8B,BF16/FP16,Direct,Engineering,1,29,0.034482758620689655
Qwen3.5-0.8B,BF16/FP16,Direct,Humanities/Social Science,7,88,0.07954545454545454
Qwen3.5-0.8B,BF16/FP16,Direct,Math,12,351,0.03418803418803419
Qwen3.5-0.8B,BF16/FP16,Direct,Other,3,56,0.05357142857142857
Qwen3.5-0.8B,BF16/FP16,Direct,Physics,5,43,0.11627906976744186
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Biology/Medicine,7,98,0.07142857142857142
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Chemistry,3,38,0.07894736842105263
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Computer Science/AI,6,97,0.061855670103092786
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Engineering,0,29,0.0
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Humanities/Social Science,8,88,0.09090909090909091
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Math,18,351,0.05128205128205128
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Other,2,56,0.03571428571428571
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,Physics,3,43,0.06976744186046512
Qwen3.5-0.8B,BF16/FP16,Tool,Biology/Medicine,11,98,0.11224489795918367
Qwen3.5-0.8B,BF16/FP16,Tool,Chemistry,0,38,0.0
Qwen3.5-0.8B,BF16/FP16,Tool,Computer Science/AI,6,97,0.061855670103092786
Qwen3.5-0.8B,BF16/FP16,Tool,Engineering,1,29,0.034482758620689655
Qwen3.5-0.8B,BF16/FP16,Tool,Humanities/Social Science,6,88,0.06818181818181818
Qwen3.5-0.8B,BF16/FP16,Tool,Math,15,351,0.042735042735042736
Qwen3.5-0.8B,BF16/FP16,Tool,Other,3,56,0.05357142857142857
Qwen3.5-0.8B,BF16/FP16,Tool,Physics,6,43,0.13953488372093023
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Biology/Medicine,6,98,0.061224489795918366
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Chemistry,1,38,0.02631578947368421
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Computer Science/AI,13,97,0.13402061855670103
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Engineering,3,29,0.10344827586206896
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Humanities/Social Science,5,88,0.056818181818181816
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Math,17,351,0.04843304843304843
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Other,3,56,0.05357142857142857
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,Physics,0,43,0.0
Qwen3.5-9B,BF16/FP16,Direct,Biology/Medicine,10,98,0.10204081632653061
Qwen3.5-9B,BF16/FP16,Direct,Chemistry,3,38,0.07894736842105263
Qwen3.5-9B,BF16/FP16,Direct,Computer Science/AI,4,97,0.041237113402061855
Qwen3.5-9B,BF16/FP16,Direct,Engineering,3,29,0.10344827586206896
Qwen3.5-9B,BF16/FP16,Direct,Humanities/Social Science,6,88,0.06818181818181818
Qwen3.5-9B,BF16/FP16,Direct,Math,15,351,0.042735042735042736
Qwen3.5-9B,BF16/FP16,Direct,Other,2,56,0.03571428571428571
Qwen3.5-9B,BF16/FP16,Direct,Physics,1,43,0.023255813953488372
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Biology/Medicine,11,98,0.11224489795918367
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Chemistry,1,38,0.02631578947368421
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Computer Science/AI,9,97,0.09278350515463918
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Engineering,2,29,0.06896551724137931
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Humanities/Social Science,5,88,0.056818181818181816
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Math,15,351,0.042735042735042736
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Other,2,56,0.03571428571428571
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,Physics,1,43,0.023255813953488372
Qwen3.5-9B,BF16/FP16,Tool,Biology/Medicine,10,98,0.10204081632653061
Qwen3.5-9B,BF16/FP16,Tool,Chemistry,4,38,0.10526315789473684
Qwen3.5-9B,BF16/FP16,Tool,Computer Science/AI,6,97,0.061855670103092786
Qwen3.5-9B,BF16/FP16,Tool,Engineering,3,29,0.10344827586206896
Qwen3.5-9B,BF16/FP16,Tool,Humanities/Social Science,6,88,0.06818181818181818
Qwen3.5-9B,BF16/FP16,Tool,Math,20,351,0.05698005698005698
Qwen3.5-9B,BF16/FP16,Tool,Other,2,56,0.03571428571428571
Qwen3.5-9B,BF16/FP16,Tool,Physics,1,43,0.023255813953488372
Qwen3.5-9B,BF16/FP16,Sim-XMaster,Biology/Medicine,10,98,0.10204081632653061
Qwen3.5-9B,BF16/FP16,Sim-XMaster,Chemistry,4,38,0.10526315789473684
Qwen3.5-9B,BF16/FP16,Sim-XMaster,Computer Science/AI,6,97,0.061855670103092786
Qwen3.5-9B,BF16/FP16,Sim-XMaster,Engineering,3,29,0.10344827586206896
Qwen3.5-9B,BF16/FP16,Sim-XMaster,Humanities/Social Science,4,88,0.045454545454545456
Qwen3.5-9B,BF16/FP16,Sim-XMaster,Math,24,351,0.06837606837606838
Qwen3.5-9B,BF16/FP16,Sim-XMaster,Other,3,56,0.05357142857142857
Qwen3.5-9B,BF16/FP16,Sim-XMaster,Physics,0,43,0.0
Qwen3.5-27B,NF4 4-bit,Direct,Biology/Medicine,8,98,0.08163265306122448
Qwen3.5-27B,NF4 4-bit,Direct,Chemistry,1,38,0.02631578947368421
Qwen3.5-27B,NF4 4-bit,Direct,Computer Science/AI,6,97,0.061855670103092786
Qwen3.5-27B,NF4 4-bit,Direct,Engineering,3,29,0.10344827586206896
Qwen3.5-27B,NF4 4-bit,Direct,Humanities/Social Science,6,88,0.06818181818181818
Qwen3.5-27B,NF4 4-bit,Direct,Math,14,351,0.039886039886039885
Qwen3.5-27B,NF4 4-bit,Direct,Other,2,56,0.03571428571428571
Qwen3.5-27B,NF4 4-bit,Direct,Physics,2,43,0.046511627906976744
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Biology/Medicine,9,98,0.09183673469387756
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Chemistry,2,38,0.05263157894736842
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Computer Science/AI,8,97,0.08247422680412371
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Engineering,3,29,0.10344827586206896
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Humanities/Social Science,7,88,0.07954545454545454
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Math,20,351,0.05698005698005698
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Other,2,56,0.03571428571428571
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,Physics,1,43,0.023255813953488372
Qwen3.5-27B,NF4 4-bit,Tool,Biology/Medicine,9,98,0.09183673469387756
Qwen3.5-27B,NF4 4-bit,Tool,Chemistry,1,38,0.02631578947368421
Qwen3.5-27B,NF4 4-bit,Tool,Computer Science/AI,9,97,0.09278350515463918
Qwen3.5-27B,NF4 4-bit,Tool,Engineering,3,29,0.10344827586206896
Qwen3.5-27B,NF4 4-bit,Tool,Humanities/Social Science,7,88,0.07954545454545454
Qwen3.5-27B,NF4 4-bit,Tool,Math,19,351,0.05413105413105413
Qwen3.5-27B,NF4 4-bit,Tool,Other,2,56,0.03571428571428571
Qwen3.5-27B,NF4 4-bit,Tool,Physics,2,43,0.046511627906976744
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Biology/Medicine,7,98,0.07142857142857142
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,Chemistry,0,38,0.0
